profession_name,user_id,lesson_id,lesson_name,lesson_datetime,next_lesson_datetime,delta_seconds,completion_flag
data-analyst,11886,239,lesson - 239,2020-03-15 00:09:10.0000000,2020-03-26 00:47:10.0000000,952680,NORMAL
data-scientist,12953,868,lesson - 868,2020-03-15 00:14:51.0000000,2020-03-23 18:23:48.0000000,756537,NORMAL
software-engineer,11192,544,lesson - 544,2020-03-15 00:17:28.0000000,2020-04-08 07:49:53.0000000,2100745,NORMAL
software-engineer,10144,544,lesson - 544,2020-03-15 00:29:21.0000000,2020-03-19 16:59:12.0000000,404991,NORMAL
software-engineer,10727,64,lesson - 64,2020-03-15 00:36:14.0000000,2020-03-16 06:54:54.0000000,109120,NORMAL
data-analyst,12403,823,lesson - 823,2020-03-15 00:37:17.0000000,2020-03-16 08:24:46.0000000,114449,NORMAL
data-analyst,14272,21,lesson - 21,2020-03-15 00:38:09.0000000,2020-03-30 17:04:00.0000000,1355151,NORMAL
data-analyst,13308,313,lesson - 313,2020-03-15 00:41:16.0000000,2020-03-22 12:37:34.0000000,647778,NORMAL
data-analyst,10502,162,lesson - 162,2020-03-15 00:43:52.0000000,2020-03-15 22:24:09.0000000,78017,NORMAL
data-analyst,10891,160,lesson - 160,2020-03-15 00:45:56.0000000,2020-05-05 23:50:53.0000000,4489497,NORMAL
data-scientist,13808,447,lesson - 447,2020-03-15 00:48:27.0000000,2020-03-19 22:20:48.0000000,423141,NORMAL
data-scientist,14650,383,lesson - 383,2020-03-15 00:50:23.0000000,2020-03-27 02:24:28.0000000,1042445,NORMAL
data-scientist,11419,56,lesson - 56,2020-03-15 00:50:54.0000000,2020-03-23 16:04:07.0000000,745993,NORMAL
data-scientist,10774,128,lesson - 128,2020-03-15 00:52:24.0000000,2020-04-02 14:14:17.0000000,1603313,NORMAL
data-scientist,11387,894,lesson - 894,2020-03-15 00:56:28.0000000,2020-03-19 10:09:21.0000000,378773,NORMAL
data-analyst,11512,856,lesson - 856,2020-03-15 01:10:23.0000000,2020-03-25 02:03:55.0000000,867212,NORMAL
software-engineer,12735,458,lesson - 458,2020-03-15 01:13:00.0000000,2020-03-15 17:51:54.0000000,59934,NORMAL
data-scientist,11458,196,lesson - 196,2020-03-15 01:24:28.0000000,2020-04-02 04:06:53.0000000,1564945,NORMAL
software-engineer,12173,974,lesson - 974,2020-03-15 01:26:15.0000000,2020-03-16 04:10:20.0000000,96245,NORMAL
data-scientist,14161,584,lesson - 584,2020-03-15 01:45:59.0000000,2020-04-07 15:09:59.0000000,2035440,NORMAL
software-engineer,11822,82,lesson - 82,2020-03-15 01:49:43.0000000,2020-03-20 16:18:12.0000000,484109,NORMAL
data-analyst,10391,323,lesson - 323,2020-03-15 01:51:29.0000000,2020-04-06 02:06:36.0000000,1901707,NORMAL
data-analyst,14468,560,lesson - 560,2020-03-15 01:58:13.0000000,2020-03-21 01:37:38.0000000,517165,NORMAL
data-analyst,11129,324,lesson - 324,2020-03-15 02:01:08.0000000,2020-03-28 07:04:04.0000000,1141376,NORMAL
data-scientist,13242,222,lesson - 222,2020-03-15 02:07:59.0000000,2020-03-24 03:03:06.0000000,780907,NORMAL
software-engineer,10367,512,lesson - 512,2020-03-15 02:08:03.0000000,2020-03-15 15:09:37.0000000,46894,NORMAL
data-scientist,10129,919,lesson - 919,2020-03-15 02:21:04.0000000,2020-03-20 01:13:57.0000000,427973,NORMAL
data-scientist,12593,643,lesson - 643,2020-03-15 02:30:44.0000000,2020-03-17 11:18:11.0000000,204447,NORMAL
data-analyst,14885,39,lesson - 39,2020-03-15 02:34:18.0000000,2020-03-18 18:02:45.0000000,314907,NORMAL
